Nation,Population (inhab/km2),Agri val (% GDP),Precipitation (10^9 m3/yr),Dependency (%),Tot renew-water (m3/inhab/yr),Water pres (%),Tot agri water use (%),Water use (m3/yr/person),Irrig area (1000 ha),Irrig/cultivated area (%)
TJK,52.595,25.225,98.295,17.34,2963,52.14,91.25,1743,730.65,83.27
TKM,10.245,17.545,78.58,97,4970.25,106.55,95.41,5584,1991,94.81
TLS,70.655,23.58,22.3,0,7903.5,14.27,91.38,1148,34.65,16.34
TTO,257.75,0.705,11.29,0,2906,8.435,4.62,270.075,7,14.89
TUN,64.635,9.23,33.87,9.1,437.55,65.29,77.98,296.3,455.575,9.06
TUR,91.735,9.42,465.7,1.52,2952.5,19.54,76.58,594.37,5161.5,21.235
UGA,134.35,24.785,285,35.11,1903,0.79,39.23,15.25,11.14,0.12
UKR,76.335,11.29,341,68.57,3807.25,8.995,30,340.8,2233.75,6.685
URY,19.15,8.72,229.1,46.46,51041.75,2.12,86.61,1100,238,10.86
USA,31.505,1.165,6958.5,8.18,10025,14.575,35.34,1722.25,26749.25,16.355
UZB,61.555,23.87,92.16,80.07,1782.5,105.3,90.22,2260.5,4198,89.51
VCT,279.5,7.185,0.62,0,917.425,7.9,0,77.63,0.48,5.97
VNM,265.75,19.035,602.05,59.35,10087.25,9.26,94.78,956.4,4585,48.67
YEM,43.685,11.75,88.17,0,92.73,164.85,90.37,172.4,680.1,41.8
ZAF,41.69,2.85,603.4,12.84,1014.325,27.49,61.895,280.45,1584,11.775
ZMB,18.23,12.285,767.7,23.47,7796.5,1.5,73.28,141.1,155.9,5.96
ZWE,35.925,15.33,256.7,38.7,1433.75,19.44,80.49,299.9,175,4.27
