"Bahamas","Total water withdrawal per capita (m3/inhab/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bahrain","Total water withdrawal per capita (m3/inhab/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,457.2,"K",,,,"",,,,"",,2003,348.0,"K",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bangladesh","Total water withdrawal per capita (m3/inhab/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2008,231.0,"K",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Barbados","Total water withdrawal per capita (m3/inhab/year)",1962,129.0,"K",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1996,303.5,"K",,,,"",,2005,293.3,"K",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Belarus","Total water withdrawal per capita (m3/inhab/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,196.2,"K",,2000,187.0,"K",,2005,178.5,"K",,2010,163.1,"K",,2013,159.4,"K",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Belgium","Total water withdrawal per capita (m3/inhab/year)",,,"",,,,"",,,,"",,,,"",,1980,919.5,"K",,,,"",,,,"",,1997,754.4,"E",,2002,650.1,"E",,2007,580.8,"E",,2009,542.0,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Belize","Total water withdrawal per capita (m3/inhab/year)",,,"",,,,"",,,,"",,,,"",,,,"",,1987,114.7,"K",,,,"",,,,"",,2000,385.2,"K",,,,"",,,,"",,,,"",

